,0
979732,78
790284,78
813508,78
927722,78
88598669,79
88604944,78
831980,80
88580222,80
789283,80
88675939,81
88697373,80
939119,82
976268,82
917201,82
777425,82
818388,82
859612,82
88574753,83
88572988,84
823042,84
776981,84
966083,84
957679,84
960139,84
796219,84
940320,84
891094,84
88564453,84
88574486,84
88598641,84
88556365,84
88574485,84
854754,84
794249,84
930302,84
791985,84
881591,84
897051,84
844642,84
88503180,85
88509825,84
88516838,84
88503184,84
88592396,84
88516839,84
88516840,84
88556679,84
88598640,84
816766,86
88525560,87
88500630,87
88507343,88
88506721,87
88551376,87
88618519,89
88664370,87
88669900,89
943284,89
812505,89
787099,89
799087,89
841198,89
840286,89
872839,89
918847,89
924233,89
911661,89
768641,89
862461,89
865103,89
787173,89
831543,89
861868,89
896321,89
908156,89
810676,89
897944,89
88587553,89
88670046,89
88666613,89
88599833,84
88556366,84
88573631,84
88573630,84
88574487,84
88598639,84
845597,90
888111,90
903744,90
907737,90
797327,90
984230,90
868918,90
764673,90
885824,90
857105,90
834540,90
88637787,90
88655747,90
88580210,90
837137,90
875295,90
950087,90
799346,90
981526,90
952204,90
862926,90
774310,90
891768,90
770522,90
88501430,90
88519921,90
785458,91
936231,91
88595907,91
88589388,91
88544863,92
88544744,91
88589387,91
88596273,91
88596271,91
88544862,91
88589386,91
88589385,91
88596269,91
88544742,91
88596272,91
88565280,91
88565281,91
88565005,91
88596270,91
88595908,91
88499580,91
88565004,91
88544743,91
88589384,91
88595909,91
88565282,91
88565006,91
88601230,91
88589383,91
88536936,91
88595910,91
88562946,91
88620881,91
88616721,91
88626672,91
88657811,93
826353,94
837778,94
962686,94
936382,94
823814,94
872556,94
804935,94
840138,94
895356,94
789718,94
779786,94
981535,94
773708,94
931375,94
969309,94
771092,94
834802,94
88592769,94
88557294,94
88557293,94
88578793,94
88557292,94
88592772,94
88589092,94
88531217,94
88597508,94
88600851,94
88592854,94
88600845,94
88592768,94
88592773,94
88527521,94
88592856,94
88531049,94
88578803,94
88527526,94
88589086,94
88592853,94
88559249,94
88578798,94
88580873,94
88600844,94
88600849,94
88592766,94
88557295,94
88589087,94
88597509,94
88589091,94
88531055,94
88531051,94
88531052,94
88527527,94
88600846,94
88531215,94
88598609,94
88578790,94
88531050,94
88578792,94
88527519,94
88589090,94
88527518,94
88578797,94
88578788,94
88531048,94
88578799,94
88592859,94
88592858,94
88527523,94
88578794,94
88600852,94
88531225,94
88589085,94
88597510,94
88531053,94
88598602,94
88598606,94
88531054,94
88531219,94
88557291,94
88600847,94
88598607,94
